user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-C,Team_CPB-I-median,Team_CPB-O-median,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,Leader_CPB-I,Leader_CPB-O
JCH2505,36.0,47.0,12.0,20.0,25.0,-15.5202666667,-22.1703733333,11,13,-17.666,-25.4074,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-18.9744,
HLD1109,38.0,31.0,23.0,15.0,24.0,-15.2249565217,-19.836026087,21,22,-15.73,-21.437,-15.1798119658,-19.8936598291,-16.456,-20.6184,-9.196,-11.6444,
CWP1829,24.0,19.0,35.0,28.0,31.0,-14.7465531915,-19.7651744681,25,26,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.748,-29.2972,
CTH0915,39.0,45.0,38.0,26.0,23.0,-15.9555932203,-19.8488474576,27,20,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-4.84,-17.076,
FJC2198,35.0,31.0,17.0,22.0,25.0,-14.7539333333,-20.64534,27,32,-14.036,-21.7004,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
MML2045,38.0,20.0,20.0,50.0,30.0,-14.9477209302,-21.0533209302,16,17,-16.456,-22.6984,-15.1798119658,-19.8936598291,-16.456,-20.6184,-15.488,-23.4432,
WBM0690,10.0,37.0,11.0,39.0,22.0,-15.8348666667,-20.76698,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-16.388,
KCM3235,39.0,44.0,26.0,42.0,36.0,-15.8002580645,-19.3784258065,39,23,-17.424,-17.5336,-14.9218758837,-19.382605813,-15.972,-18.9108,-15.488,-30.7232,
RJW2318,42.0,47.0,39.0,27.0,24.0,-14.4635333333,-18.9621133333,35,31,-14.762,-16.2018,-15.4025108696,-20.250498913,-16.94,-20.766,-10.164,-16.6196,
AFF1492,47.0,40.0,17.0,21.0,34.0,-15.3912,-19.91668,19,21,-14.52,-21.588,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-12.4596,
ONR3291,44.0,40.0,17.0,36.0,32.0,-14.1124210526,-19.6117754386,30,30,-12.584,-18.9176,-15.0351142857,-20.0305742857,-16.456,-20.6184,-20.328,-32.1992,
ATC1587,38.0,40.0,33.0,22.0,34.0,-14.2738983051,-20.0410847458,28,29,-15.972,-20.4708,-15.4025108696,-20.250498913,-16.94,-20.766,-20.328,-18.1592,
RJG3325,12.0,17.0,23.0,20.0,32.0,-14.3077192982,-19.8172982456,29,29,-13.552,-19.2128,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-15.784,
GFJ2582,18.0,40.0,45.0,14.0,31.0,-15.8859555556,-19.5894488889,25,17,-17.908,-18.4612,-15.1798119658,-19.8936598291,-16.456,-20.6184,-17.424,-28.7136,
CRP1915,42.0,23.0,18.0,50.0,28.0,-16.6058095238,-20.168847619,20,13,-17.666,-20.9874,-14.9578338462,-19.7247212308,-15.972,-19.9508,-20.328,-29.0792,
TPS2595,42.0,46.0,22.0,24.0,28.0,-14.047,-17.4373909091,29,24,-13.794,-15.6466,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.392,-17.5688,
BNH3516,37.0,19.0,49.0,25.0,18.0,-13.761,-18.7447181818,25,26,-11.616,-16.2824,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.78,-11.842,
MWO0559,38.0,22.0,37.0,14.0,36.0,-14.3326451613,-19.6689290323,17,15,-16.94,-19.726,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-12.3892,
KOE1033,48.0,19.0,24.0,44.0,39.0,-15.7138666667,-18.83208,9,6,-17.424,-16.2336,-15.3290048309,-19.4859207729,-16.94,-19.206,-10.648,-24.5672,
CDE1846,36.0,38.0,26.0,43.0,27.0,-15.7763404255,-19.4264510638,27,17,-17.424,-18.8336,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.812,-20.9068,
STR3896,18.0,40.0,14.0,22.0,45.0,-13.9536170213,-19.9105957447,24,26,-11.132,-17.9548,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
TJE1945,14.0,19.0,34.0,19.0,24.0,-15.8644444444,-20.0913333333,19,18,-17.424,-20.9136,-15.1798119658,-19.8936598291,-16.456,-20.6184,-14.52,-20.028,
DKW1659,15.0,15.0,15.0,34.0,30.0,-14.4789830508,-19.9978644068,29,28,-15.972,-20.4708,-15.4025108696,-20.250498913,-16.94,-20.766,-20.328,-17.1192,
RBH3142,30.0,18.0,22.0,14.0,32.0,-15.0147555556,-19.1619911111,25,22,-15.488,-17.7232,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-25.312,
LRV1120,27.0,28.0,19.0,31.0,26.0,-15.2565217391,-19.6647826087,22,22,-15.73,-21.437,-15.1798119658,-19.8936598291,-16.456,-20.6184,-9.196,-11.6444,
ZAR0404,37.0,39.0,50.0,37.0,31.0,0,0,0,0,0,0,-16.6375,-21.45375,-18.15,-22.695,-10.164,-14.0196,
MBR3261,23.0,25.0,40.0,17.0,30.0,-15.4275,-19.86275,18,16,-16.698,-21.9922,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-11.4196,
JBB1875,38.0,28.0,37.0,30.0,23.0,-15.3396774194,-19.0786129032,36,27,-16.698,-18.3522,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-12.8116,
JJM2845,27.0,42.0,24.0,22.0,28.0,-14.5610169492,-20.4018644068,26,30,-14.52,-21.588,-15.0351142857,-20.0305742857,-16.456,-20.6184,-11.132,-23.6748,
AYD2775,30.0,14.0,22.0,30.0,26.0,-15.7058,-18.62162,23,17,-17.424,-18.3136,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-13.4088,
AIB0553,10.0,21.0,43.0,47.0,26.0,-15.0147555556,-18.5611022222,26,21,-15.488,-15.6432,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.164,-26.4996,
KJP1326,18.0,15.0,22.0,23.0,27.0,-14.5774237288,-19.3404271186,31,27,-16.94,-19.206,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.744,-12.7616,
IHH2590,46.0,22.0,46.0,28.0,25.0,-14.311,-17.4706272727,29,23,-14.762,-15.9418,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.392,-17.5688,
FBD2277,43.0,46.0,18.0,22.0,30.0,-14.4716,-19.0079066667,35,31,-14.762,-16.7218,-15.4025108696,-20.250498913,-16.94,-20.766,-8.712,-25.0168,
CDB2947,38.0,43.0,16.0,41.0,26.0,-16.4313898305,-20.2583525424,30,21,-17.908,-20.5412,-15.4025108696,-20.250498913,-16.94,-20.766,-23.232,-25.2848,
NPS1563,18.0,38.0,10.0,38.0,29.0,-15.9104,-19.9981963636,30,21,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-21.296,-24.6944,
JET2299,38.0,18.0,15.0,27.0,30.0,-15.7577704918,-19.6979278689,34,22,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-20.812,-27.1468,
LGR3119,41.0,33.0,49.0,23.0,29.0,-15.8861290323,-19.5639677419,38,23,-17.666,-17.8674,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-24.6944,
SXO3514,42.0,31.0,18.0,37.0,35.0,-13.629,-18.5626454545,26,26,-11.374,-16.2086,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.78,-11.842,
JRB2741,31.0,35.0,19.0,16.0,28.0,-15.0430322581,-18.2416967742,38,29,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-4.84,-8.756,
BGM1226,20.0,23.0,42.0,22.0,30.0,-14.8964444444,-20.0272444444,24,22,-15.972,-19.4308,-15.1798119658,-19.8936598291,-16.456,-20.6184,-22.264,-28.6296,
OHF0078,41.0,42.0,35.0,38.0,20.0,-15.7405217391,-18.7158608696,27,19,-16.698,-17.3122,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.296,-28.3344,
JCH1410,30.0,39.0,21.0,30.0,37.0,-14.5302978723,-19.4226297872,21,24,-15.004,-20.1756,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.164,-21.2996,
NTF1342,36.0,42.0,38.0,12.0,25.0,-14.3559322034,-19.3698305085,31,28,-16.456,-19.0584,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.744,-12.7616,
RCT1697,50.0,32.0,35.0,10.0,32.0,-14.9372413793,-19.4828275862,31,26,-16.94,-19.206,-14.8882043011,-19.4707172043,-16.456,-19.0584,-9.68,-13.872,
CZT2970,43.0,24.0,40.0,18.0,24.0,-13.9230666667,-20.52196,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-25.748,
DMB2533,42.0,50.0,43.0,35.0,19.0,-14.9259354839,-18.0466322581,39,29,-16.94,-17.386,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.748,-18.8972,
DAB3255,12.0,38.0,17.0,37.0,34.0,-15.2702,-19.55478,19,17,-16.456,-21.1384,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-11.4196,
SCJ0179,24.0,46.0,30.0,39.0,26.0,-14.2581639344,-18.8655278689,36,33,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-17.0692,
LQW0555,44.0,40.0,39.0,19.0,32.0,-14.8104,-18.8223377778,25,22,-15.488,-16.1632,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.164,-26.4996,
KAH1820,48.0,36.0,21.0,32.0,31.0,-15.6816,-19.8853511111,20,19,-16.94,-20.766,-15.1798119658,-19.8936598291,-16.456,-20.6184,-6.776,-8.8264,
NJC1951,46.0,39.0,22.0,38.0,30.0,-14.5405957447,-19.5917276596,26,27,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-21.8264,
LTF3385,35.0,39.0,37.0,40.0,31.0,-15.1434576271,-19.3632135593,33,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.456,-16.9784,
HGR0198,22.0,18.0,37.0,26.0,32.0,-15.9881333333,-20.9263866667,26,21,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-16.388,
CGM0035,39.0,38.0,25.0,37.0,29.0,-15.4115789474,-20.2177894737,9,8,-16.94,-21.806,-15.3290048309,-19.4859207729,-16.94,-19.206,-23.232,-33.0848,
WAM0069,43.0,44.0,23.0,42.0,18.0,-15.7194782609,-18.664226087,27,19,-16.698,-17.3122,-15.1798119658,-19.8936598291,-16.456,-20.6184,-21.78,-17.562,
APH2985,18.0,25.0,19.0,14.0,30.0,-13.915,-20.5541666667,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-25.748,
JSJ2743,18.0,25.0,42.0,23.0,33.0,-15.1210967742,-18.2067935484,38,28,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-4.84,-8.756,
APB1122,14.0,47.0,20.0,35.0,27.0,-15.0566086957,-19.5586,22,23,-15.246,-21.0294,-15.1798119658,-19.8936598291,-16.456,-20.6184,-9.196,-11.6444,
CAS0391,33.0,39.0,35.0,20.0,28.0,-15.1944262295,-18.6821967213,37,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
MRB2390,30.0,18.0,15.0,35.0,29.0,-15.2406222222,-19.7855377778,23,17,-16.94,-20.246,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.296,-17.9344,
TJD0106,12.0,22.0,38.0,17.0,31.0,-14.9717333333,-18.8022044444,26,19,-16.94,-18.166,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.908,-21.0612,
DNS1758,46.0,37.0,35.0,15.0,30.0,-14.3264,-19.24096,10,11,-12.584,-18.1376,-15.3290048309,-19.4859207729,-16.94,-19.206,-13.552,-14.5328,
CJM3315,45.0,38.0,33.0,35.0,36.0,-15.2702,-19.58078,19,17,-16.456,-21.1384,-15.0351142857,-20.0305742857,-16.456,-20.6184,-23.232,-13.8448,
EHD0024,42.0,19.0,38.0,12.0,19.0,0,0,0,0,0,0,-16.456,-18.1917333333,-19.36,-21.504,-19.36,-21.504,
OKH3777,32.0,35.0,44.0,14.0,41.0,-15.6977333333,-20.9938266667,26,23,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-13.2612,
ODB0151,42.0,46.0,30.0,22.0,32.0,-15.6984347826,-18.8838956522,26,19,-16.698,-17.5722,-15.1798119658,-19.8936598291,-16.456,-20.6184,-11.132,-15.3548,
MAM2363,18.0,39.0,36.0,19.0,26.0,-15.591147541,-19.7153114754,34,23,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-7.26,-12.094,
EGG3374,44.0,22.0,13.0,38.0,36.0,-15.2944,-21.48616,22,24,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-14.3012,
EBS2201,44.0,45.0,34.0,19.0,26.0,-14.641,-20.6369,27,33,-14.036,-21.7004,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
INH1250,43.0,46.0,30.0,16.0,30.0,-15.0671304348,-19.7765913043,21,23,-15.246,-21.2894,-15.1798119658,-19.8936598291,-16.456,-20.6184,-9.196,-10.0844,
CJW2087,45.0,38.0,16.0,14.0,28.0,-14.550893617,-19.8604,25,27,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-25.2916,
LQW1314,41.0,26.0,38.0,36.0,38.0,-14.5119333333,-18.5348733333,34,29,-16.456,-16.9784,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-28.6364,
LRK2426,15.0,42.0,31.0,28.0,26.0,-14.9275789474,-19.3859789474,9,10,-14.52,-20.028,-15.3290048309,-19.4859207729,-16.94,-19.206,-8.712,-23.4568,
KDC1487,46.0,43.0,23.0,45.0,27.0,-15.3549,-19.59361,20,21,-14.52,-18.988,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-12.4596,
PMF0768,48.0,37.0,38.0,37.0,27.0,-14.3295737705,-18.9043540984,36,33,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.196,-10.0844,
OWD0981,45.0,30.0,36.0,10.0,26.0,-15.2658360656,-18.7892196721,37,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
MPG1307,38.0,15.0,36.0,23.0,27.0,-14.6006666667,-18.6746,33,29,-16.456,-17.4984,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-28.6364,
DAT1981,38.0,17.0,24.0,12.0,37.0,-15.6129032258,-19.7238709677,17,12,-16.94,-18.686,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-29.8944,
KRB3120,38.0,38.0,18.0,17.0,28.0,-15.8470967742,-19.6023870968,38,23,-17.424,-17.7936,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-24.6944,
AAG3799,45.0,46.0,15.0,39.0,36.0,-15.609,-20.7501,27,23,-16.94,-22.586,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-13.2612,
QSM3147,39.0,39.0,41.0,20.0,34.0,-14.7888888889,-19.0237777778,25,23,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-25.312,
KZG3565,30.0,28.0,46.0,12.0,26.0,-13.7324745763,-18.6685152542,34,36,-13.552,-17.1328,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.712,-18.2568,
IHS0816,24.0,35.0,41.0,32.0,20.0,-15.851,-20.8325666667,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-22.8392,
KVA2944,43.0,12.0,47.0,23.0,28.0,-16.6856949153,-20.4945491525,29,20,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-23.232,-25.2848,
JAF0209,43.0,44.0,45.0,24.0,31.0,0,0,0,0,0,0,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-16.6696,
NJL0974,10.0,41.0,30.0,39.0,27.0,-15.178557377,-18.5153901639,38,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
ABB0300,38.0,26.0,14.0,20.0,26.0,-14.3034736842,-20.5914421053,18,18,-16.214,-22.1046,-15.0351142857,-20.0305742857,-16.456,-20.6184,-16.94,-19.206,
TBW1393,34.0,40.0,10.0,20.0,15.0,-15.1302608696,-19.750626087,21,23,-15.246,-21.2894,-15.1798119658,-19.8936598291,-16.456,-20.6184,-20.812,-25.0668,
CHV0509,13.0,41.0,24.0,38.0,22.0,-14.6275555556,-19.4368,23,21,-15.972,-17.8708,-15.1798119658,-19.8936598291,-16.456,-20.6184,-7.744,-8.0816,
NTE3084,22.0,18.0,17.0,22.0,29.0,-15.0147555556,-19.0695466667,25,22,-15.488,-17.7232,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.132,-22.6348,
JTJ0597,35.0,44.0,13.0,19.0,33.0,-14.2043478261,-19.9769565217,21,26,-14.52,-21.848,-14.9578338462,-19.7247212308,-15.972,-19.9508,-6.776,-23.3864,
JLC0216,44.0,45.0,25.0,38.0,32.0,-14.193826087,-19.7589652174,22,26,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.296,-17.9344,
LGJ2710,14.0,17.0,24.0,16.0,28.0,-13.7579574468,-19.1870978723,26,28,-12.1,-16.69,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-29.0792,
MDP1412,41.0,46.0,39.0,30.0,23.0,-14.458212766,-19.4006468085,21,24,-15.004,-20.1756,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.164,-21.2996,
ABR0397,38.0,40.0,46.0,38.0,25.0,-15.1864918033,-18.5263344262,38,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
GJS3352,37.0,40.0,14.0,37.0,30.0,-15.1492,-21.4505466667,22,25,-15.972,-24.3708,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-14.3012,
BUW2717,43.0,36.0,37.0,19.0,34.0,-13.5622978723,-19.0942382979,26,29,-11.616,-16.5424,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-29.0792,
CJM3543,42.0,50.0,15.0,25.0,33.0,-13.42,-18.6407272727,25,27,-11.374,-16.2086,-14.9578338462,-19.7247212308,-15.972,-19.9508,-8.712,-14.6168,
CIR1367,40.0,16.0,21.0,21.0,30.0,-14.9717333333,-20.06176,24,22,-15.972,-19.4308,-15.1798119658,-19.8936598291,-16.456,-20.6184,-18.876,-13.0364,
CBD3251,42.0,35.0,30.0,11.0,33.0,-15.3065,-19.90385,18,17,-16.456,-21.9184,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-11.4196,
JCP0028,43.0,31.0,43.0,40.0,33.0,0,0,0,0,0,0,-13.552,-23.0261333333,-15.004,-24.8556,-18.392,-25.8888,
QCN2206,18.0,45.0,41.0,42.0,28.0,-16.3851707317,-18.9987512195,25,15,-17.424,-17.2736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-13.068,-12.3052,
JJS2079,18.0,45.0,17.0,35.0,26.0,-14.4788085106,-19.6060765957,26,27,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-25.2916,
DPC3722,39.0,44.0,17.0,13.0,20.0,-15.6251333333,-20.9803533333,26,23,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-6.776,-17.6664,
BDH0472,20.0,24.0,17.0,42.0,28.0,-14.4147826087,-19.7811304348,22,25,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
TTK2633,35.0,46.0,18.0,38.0,39.0,-14.9571612903,-18.0309935484,39,29,-16.94,-17.386,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-17.4916,
MHR0581,35.0,50.0,16.0,37.0,30.0,-14.9122068966,-19.9593310345,25,30,-15.004,-20.1756,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.648,-25.0872,
MBL2383,18.0,16.0,12.0,21.0,36.0,-15.2621333333,-19.9538755556,22,17,-16.94,-21.286,-14.9578338462,-19.7247212308,-15.972,-19.9508,-10.648,-24.0472,
IAG2742,37.0,36.0,18.0,20.0,34.0,-15.0352258065,-18.2057677419,38,29,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-4.84,-8.756,
EAH3550,29.0,34.0,23.0,49.0,29.0,-13.596,-18.4107636364,26,27,-11.374,-16.2086,-14.9578338462,-19.7247212308,-15.972,-19.9508,-8.712,-14.6168,
SMG1794,38.0,34.0,45.0,24.0,35.0,-14.7901395349,-21.3196837209,15,18,-16.456,-23.2184,-15.1798119658,-19.8936598291,-16.456,-20.6184,-11.132,-25.2348,
EVF1722,43.0,39.0,20.0,10.0,25.0,-14.7237894737,-22.1610245614,17,27,-15.972,-23.5908,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-27.392,
SIR3201,37.0,24.0,30.0,46.0,20.0,-14.9502222222,-18.7725333333,26,22,-15.488,-17.7232,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-13.184,
CFP3418,36.0,36.0,13.0,44.0,29.0,-15.1814666667,-21.39972,22,25,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-19.844,-25.8116,
ZMB3686,42.0,40.0,17.0,18.0,28.0,-15.3075254237,-20.708840678,24,28,-16.94,-23.886,-15.0351142857,-20.0305742857,-16.456,-20.6184,-17.908,-22.6212,
ATP2680,40.0,42.0,20.0,19.0,22.0,-15.8644444444,-19.5251111111,25,17,-17.908,-18.4612,-15.1798119658,-19.8936598291,-16.456,-20.6184,-20.328,-16.5992,
BRM0143,12.0,17.0,37.0,37.0,36.0,-14.4884347826,-19.8601130435,22,25,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-6.776,-23.3864,
KAM0005,37.0,40.0,25.0,10.0,31.0,0,0,0,0,0,0,0,0,0,0,-10.164,-11.9396,
JHC3520,40.0,16.0,20.0,40.0,24.0,-13.794,-18.5775090909,26,26,-11.616,-16.2824,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.78,-11.842,
TLC1147,17.0,40.0,44.0,49.0,33.0,-16.1087826087,-18.6812086957,26,16,-18.15,-18.015,-14.9218758837,-19.382605813,-15.972,-18.9108,-24.2,-17.26,
SCD2333,41.0,17.0,40.0,35.0,38.0,-14.7055333333,-18.96658,36,30,-15.73,-16.497,-15.4025108696,-20.250498913,-16.94,-20.766,-10.164,-16.6196,
BBW0594,38.0,13.0,30.0,48.0,30.0,-14.5305217391,-19.7486,22,25,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-6.776,-23.3864,
QLW2245,25.0,17.0,25.0,40.0,26.0,-14.8668666667,-20.52378,28,32,-14.762,-20.8818,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-21.504,
MBW1099,42.0,15.0,44.0,34.0,24.0,-15.004,-20.4237818182,21,20,-16.456,-21.3984,-15.1798119658,-19.8936598291,-16.456,-20.6184,-19.36,-19.424,
AMH1481,46.0,16.0,28.0,33.0,36.0,-14.569220339,-19.2497898305,32,27,-16.94,-18.686,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-12.4664,
JRF3424,41.0,32.0,19.0,42.0,32.0,-15.2137333333,-21.4268933333,22,25,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-19.844,-25.8116,
IIW1595,24.0,16.0,45.0,29.0,27.0,-14.470779661,-20.0394305085,28,28,-15.972,-20.4708,-15.4025108696,-20.250498913,-16.94,-20.766,-20.328,-18.1592,
WWS0645,38.0,18.0,19.0,35.0,27.0,-14.4803278689,-18.9673770492,36,32,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-17.0692,
CDB3222,43.0,41.0,23.0,23.0,33.0,-15.4664888889,-20.7673066667,19,19,-17.424,-21.4336,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-17.4916,
CCD3168,40.0,18.0,41.0,14.0,38.0,-16.0032258065,-19.6751612903,38,22,-17.666,-17.8674,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-19.7896,
BTV0644,14.0,20.0,28.0,40.0,27.0,-14.4644590164,-18.9199147541,36,32,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-17.0692,
GLB0419,38.0,40.0,23.0,18.0,27.0,-15.1864918033,-18.6968262295,37,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
JLW2924,39.0,15.0,12.0,17.0,33.0,-13.9956666667,-20.5527666667,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.78,-18.082,
FAH1566,39.0,30.0,25.0,41.0,21.0,-15.9808,-19.9913018182,30,20,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-21.296,-24.6944,
CNT1188,26.0,22.0,36.0,29.0,34.0,-14.52,-19.2700338983,31,27,-16.94,-18.686,-14.9218758837,-19.382605813,-15.972,-18.9108,-16.94,-26.486,
AMJ3174,30.0,41.0,35.0,11.0,31.0,-15.8236774194,-19.6455677419,38,23,-17.424,-17.7936,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-19.7896,
PSH3834,22.0,14.0,12.0,45.0,35.0,-14.2213617021,-19.7377787234,25,25,-12.584,-18.3976,-14.9578338462,-19.7247212308,-15.972,-19.9508,-10.648,-24.0472,
CCM3075,45.0,49.0,45.0,11.0,26.0,-14.6813333333,-19.0949777778,25,23,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.132,-22.6348,
IPB1935,19.0,37.0,22.0,14.0,20.0,-15.6708444444,-20.0900711111,19,19,-16.94,-20.766,-15.1798119658,-19.8936598291,-16.456,-20.6184,-14.52,-20.028,
RCG0105,39.0,34.0,38.0,25.0,35.0,-14.8426666667,-18.6704,26,20,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.908,-21.0612,
LAL1956,13.0,16.0,18.0,40.0,18.0,-14.7774468085,-19.6418297872,26,26,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-21.8264,
OHC1892,37.0,23.0,44.0,19.0,30.0,-14.8596491228,-22.1203508772,17,26,-15.972,-23.5908,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.648,-26.6472,
ZNE3451,40.0,20.0,41.0,34.0,31.0,-15.2993220339,-19.4636271186,33,25,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-27.308,
HZA3839,19.0,25.0,23.0,36.0,26.0,-14.0725283019,-19.6266339623,25,26,-15.488,-21.3632,-15.0351142857,-20.0305742857,-16.456,-20.6184,-22.264,-30.1896,
AMM3906,44.0,17.0,21.0,43.0,25.0,-14.1904680851,-19.7504851064,25,25,-12.584,-18.3976,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
JRM0871,16.0,18.0,20.0,37.0,29.0,-15.2218,-20.5453533333,27,24,-16.698,-21.7322,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
OTD1228,33.0,18.0,12.0,32.0,34.0,-14.9502222222,-19.9280888889,25,22,-15.972,-19.4308,-15.1798119658,-19.8936598291,-16.456,-20.6184,-22.264,-28.6296,
